Quote,Author
"Know thyself.", Socrates
"The only true wisdom is in knowing you know nothing.", Socrates
"Wisdom begins in wonder.", Socrates
"Be kind, for everyone you meet is fighting a hard battle.", Plato
"No man ever steps in the same river twice, for it's not the same river and he's not the same man.", Heraclitus
"At the touch of love everyone becomes a poet.", Plato
"We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.", Plato
"It is the mark of an educated mind to be able to entertain a thought without accepting it.", Aristotle
"Pleasure in the job puts perfection in the work.", Aristotle
"The only way to do great work is to love what you do.", Aristotle
"What we repeatedly do, excellence then is not an act but a habit.", Aristotle
"The measure of a man is what he does with power.", Plato
"He who commits injustice is ever made more wretched than he who suffers it.", Plato
"To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.", Heraclitus
"Everything flows and nothing stays.", Heraclitus
"The unexamined life is not worth living.", Socrates
"The only thing I know is that I know nothing.", Socrates
"The mind is everything; what you think, you become.", Aristotle
"We are what we repeatedly do. Excellence, then, is not an act, but a habit.", Aristotle
