Quote,Author
"The happiness of your life depends upon the quality of your thoughts.",Marcus Aurelius
"The chief task in life is simply this: to identify and separate matters so that I can say clearly to myself which are externals not under my control, and which have to do with the choices I actually control.",Epictetus
"It is not that we have a short space of time, but that we waste much of it. Life is long enough, and it has been given in sufficiently generous measure to allow us to achieve the greatest things, if the whole of it is well invested.",Seneca
"Wealth consists not in having great possessions, but in having few wants.",Epictetus
"The first step in the acquisition of wisdom is silence, the second listening, the third memory, the fourth practice, the fifth teaching others.",Solomon Ibn Gabriol
"We are not given complete control over things, but we are given complete control over how we respond to them.",Epictetus
"It is not that we have a short time to live, but that we waste a lot of it.",Seneca
"Difficulties strengthen the mind, as labor does the body.",Seneca
"The greater the difficulty, the more glory in surmounting it.",Epictetus
"True happiness is to enjoy the present, without anxious dependence upon the future, not to amuse ourselves with either hopes or fears but to rest satisfied with what we have, which is sufficient, for he that is so wants nothing.",Seneca
"Freedom is the only worthy goal in life. It is won by disregarding things that lie beyond our control.",Epictetus
"Attach yourself to what is spiritually superior, regardless of what other people think or do. Hold to your true aspirations no matter what is going on around you.",Epictetus
"Not how long, but how well you have lived is the main thing.",Seneca
"The mind that is anxious about the future is miserable.",Seneca
"First say to yourself what you would be; and then do what you have to do.",Epictetus
"Wherever there is a human being, there is an opportunity for a kindness.",Seneca
"He who is brave is free.",Seneca
"No man is free who is not a master of himself.",Epictetus
"It is not death that a man should fear, but he should fear never beginning to live.",Marcus Aurelius
"The soul becomes dyed with the color of its thoughts.",Marcus Aurelius
"Let not your mind run on what you lack as much as on what you have already.",Marcus Aurelius
"Be tolerant with others and strict with yourself.",Marcus Aurelius
"Man is affected not by events but by the view he takes of them.",Seneca
"Choose not to be harmed and you won’t feel harmed. Don’t feel harmed and you haven’t been.",Marcus Aurelius
"Nothing, to my way of thinking, is a better proof of a well ordered mind than a man’s ability to stop just where he is and pass some time in his own company.",Seneca
"Nature does not hurry, yet everything is accomplished.",Lao Tzu
"The whole future lies in uncertainty: live immediately.",Seneca
"Remember that your days are numbered. Use them to throw open the windows of your soul to the sun. If you do not, the sun will soon set, and you with it.",Marcus Aurelius
